ID,Game ID,Date,Season,Minute,Opponent,Play Type,Shot Attempt,Shot Distance,Shot Outcome,xG,Number of Passes,Second Chance,Play Context,Location on Field,Outcome,Success,Win Impact,Assist Type,Final Third Entry,Play Speed,Player Involvement,Phase of Match
17,3,2023-08-08,2024,53,Storm Rovers,Free Kick,Yes,20,Missed,0.36,1,Yes,Set Piece,Central inside box,Turnover,No,-1,Through Ball,No,Slow Build-up,Winger,Middle
18,4,2023-08-09,2024,90,Eagle City,Corner,Yes,26,Saved by GK,0.07,2,Yes,Open Play,Left wing close to box,Goal,No,3,Cutback,Yes,Quick Attack,Defender,Late
19,4,2023-08-09,2024,65,Eagle City,Corner,Yes,10,Goal,0.69,1,Yes,Open Play,Left wing close to box,Goal,Yes,3,None,Yes,Slow Build-up,Striker,Late
20,4,2023-08-09,2024,73,Eagle City,Counterattack,Yes,23,Goal,0.14,2,No,Set Piece,Left wing outside box,Goal,Yes,3,Cutback,Yes,Slow Build-up,Defender,Late
21,4,2023-08-09,2024,17,Eagle City,Shot Attempt,Yes,19,On Target,0.38,1,Yes,Set Piece,Left wing close to box,Saved by GK,Yes,2,None,Yes,Quick Attack,Winger,Early
22,4,2023-08-09,2024,17,Eagle City,Shot Attempt,Yes,7,Missed,0.51,1,No,Fast Break,Right wing inside box,Turnover,No,-1,None,No,Quick Attack,Midfielder,Early
23,4,2023-08-09,2024,34,Eagle City,Pass Sequence,No,,,0.0,2,Yes,Set Piece,Right wing inside box,Retained Possession,Yes,1,Cross,No,Quick Attack,Winger,Middle
24,5,2023-08-24,2024,33,Lightning Athletic,Pass Sequence,No,,,0.0,2,No,Set Piece,Central inside box,Retained Possession,Yes,1,None,No,Quick Attack,Winger,Middle
25,5,2023-08-24,2024,21,Lightning Athletic,Free Kick,Yes,22,Saved by GK,0.13,1,Yes,Fast Break,Left wing inside box,Goal,No,3,Cutback,Yes,Slow Build-up,Midfielder,Early
26,5,2023-08-24,2024,6,Lightning Athletic,Shot Attempt,Yes,16,Goal,0.37,1,Yes,Fast Break,Central outside box,Goal,Yes,3,Cutback,No,Quick Attack,Midfielder,Early
27,5,2023-08-24,2024,21,Lightning Athletic,Counterattack,Yes,18,Goal,0.15,2,No,Fast Break,Left wing outside box,Goal,Yes,3,Cutback,Yes,Quick Attack,Defender,Early
28,5,2023-08-24,2024,5,Lightning Athletic,Free Kick,Yes,12,Missed,0.34,2,No,Set Piece,Left wing outside box,Turnover,No,-1,Cross,Yes,Quick Attack,Defender,Early
29,5,2023-08-24,2024,43,Lightning Athletic,Shot Attempt,Yes,7,On Target,0.51,3,No,Fast Break,Right wing midfield,Saved by GK,Yes,2,Cutback,Yes,Quick Attack,Winger,Middle
30,6,2023-08-30,2024,75,Firestorm FC,Shot Attempt,Yes,6,Goal,0.58,2,No,Set Piece,Left wing close to box,Goal,Yes,3,None,No,Quick Attack,Winger,Late
31,6,2023-08-30,2024,6,Firestorm FC,Free Kick,Yes,5,Missed,0.51,1,No,Fast Break,Right wing outside box,Turnover,No,-1,None,No,Slow Build-up,Defender,Early
32,6,2023-08-30,2024,42,Firestorm FC,Free Kick,Yes,27,On Target,0.13,1,No,Fast Break,Central midfield,Saved by GK,Yes,2,Cross,No,Slow Build-up,Striker,Middle
33,6,2023-08-30,2024,39,Firestorm FC,Shot Attempt,Yes,11,Saved by GK,0.34,3,No,Set Piece,Left wing midfield,Saved by GK,Yes,2,Cross,No,Quick Attack,Striker,Middle
34,6,2023-08-30,2024,37,Firestorm FC,Corner,Yes,26,On Target,0.06,1,No,Open Play,Left wing outside box,Saved by GK,Yes,2,Cross,Yes,Quick Attack,Midfielder,Middle
35,7,2023-09-03,2024,79,Crimson Wolves,Pass Sequence,No,,,0.0,8,No,Fast Break,Left wing close to box,Retained Possession,Yes,1,Cross,No,Slow Build-up,Defender,Late
36,7,2023-09-03,2024,32,Crimson Wolves,Counterattack,Yes,25,Goal,0.18,1,No,Open Play,Left wing inside box,Goal,Yes,3,Through Ball,Yes,Quick Attack,Striker,Middle
37,7,2023-09-03,2024,59,Crimson Wolves,Counterattack,Yes,30,Saved by GK,0.15,3,No,Set Piece,Left wing close to box,Saved by GK,Yes,2,Through Ball,Yes,Slow Build-up,Defender,Middle
38,7,2023-09-03,2024,34,Crimson Wolves,Counterattack,Yes,25,On Target,0.16,3,No,Fast Break,Left wing outside box,Saved by GK,Yes,2,Cutback,No,Quick Attack,Winger,Middle
39,7,2023-09-03,2024,31,Crimson Wolves,Shot Attempt,Yes,15,On Target,0.37,1,Yes,Open Play,Left wing outside box,Saved by GK,Yes,2,Through Ball,Yes,Quick Attack,Striker,Middle
40,7,2023-09-03,2024,54,Crimson Wolves,Free Kick,Yes,15,Saved by GK,0.22,1,No,Set Piece,Left wing close to box,Goal,No,3,Through Ball,No,Quick Attack,Winger,Middle
41,8,2023-09-14,2024,50,Golden Lions,Free Kick,Yes,22,Missed,0.12,2,No,Set Piece,Central inside box,Turnover,No,-1,Through Ball,No,Slow Build-up,Midfielder,Middle
42,8,2023-09-14,2024,60,Golden Lions,Counterattack,Yes,24,Goal,0.19,3,Yes,Open Play,Right wing close to box,Goal,Yes,3,Through Ball,Yes,Slow Build-up,Midfielder,Late
43,8,2023-09-14,2024,7,Golden Lions,Shot Attempt,Yes,17,On Target,0.16,2,No,Set Piece,Right wing inside box,Saved by GK,Yes,2,Through Ball,No,Quick Attack,Defender,Early
44,8,2023-09-14,2024,3,Golden Lions,Corner,Yes,6,On Target,0.47,1,Yes,Open Play,Left wing outside box,Saved by GK,Yes,2,Cross,Yes,Quick Attack,Midfielder,Early
45,8,2023-09-14,2024,17,Golden Lions,Free Kick,Yes,26,Goal,0.13,1,No,Fast Break,Right wing inside box,Goal,Yes,3,Cutback,Yes,Quick Attack,Midfielder,Early
46,8,2023-09-14,2024,40,Golden Lions,Pass Sequence,No,,,0.0,1,No,Fast Break,Right wing close to box,Retained Possession,Yes,1,Through Ball,No,Quick Attack,Striker,Middle
47,9,2023-09-18,2024,14,Silver Hawks,Shot Attempt,Yes,26,Goal,0.17,3,Yes,Set Piece,Right wing midfield,Goal,Yes,3,Through Ball,No,Quick Attack,Winger,Early
48,9,2023-09-18,2024,2,Silver Hawks,Free Kick,Yes,20,Goal,0.23,2,No,Fast Break,Left wing inside box,Goal,Yes,3,Through Ball,Yes,Slow Build-up,Defender,Early
49,9,2023-09-18,2024,60,Silver Hawks,Free Kick,Yes,28,On Target,0.1,1,Yes,Set Piece,Left wing midfield,Saved by GK,Yes,2,Cross,No,Slow Build-up,Winger,Late
50,9,2023-09-18,2024,4,Silver Hawks,Free Kick,Yes,15,Missed,0.25,2,No,Set Piece,Right wing inside box,Turnover,No,-1,Cutback,Yes,Quick Attack,Striker,Early
51,9,2023-09-18,2024,31,Silver Hawks,Free Kick,Yes,20,Missed,0.31,3,No,Set Piece,Central inside box,Turnover,No,-1,None,No,Quick Attack,Defender,Middle
52,10,2023-09-19,2024,40,Blue Sharks,Corner,Yes,16,Saved by GK,0.27,2,No,Fast Break,Right wing midfield,Retained Possession,Yes,1,Cutback,No,Slow Build-up,Winger,Middle
53,10,2023-09-19,2024,33,Blue Sharks,Counterattack,Yes,8,Missed,0.49,3,Yes,Open Play,Left wing outside box,Turnover,No,-1,Through Ball,No,Slow Build-up,Striker,Middle
54,10,2023-09-19,2024,25,Blue Sharks,Shot Attempt,Yes,12,On Target,0.15,1,Yes,Set Piece,Central inside box,Saved by GK,Yes,2,None,No,Quick Attack,Defender,Early
55,10,2023-09-19,2024,14,Blue Sharks,Pass Sequence,No,,,0.0,5,No,Set Piece,Left wing midfield,Retained Possession,Yes,1,Cutback,Yes,Quick Attack,Winger,Early
56,10,2023-09-19,2024,62,Blue Sharks,Pass Sequence,No,,,0.0,2,No,Set Piece,Central outside box,Retained Possession,Yes,1,None,Yes,Quick Attack,Winger,Late
57,11,2023-09-24,2024,32,Green Dragons,Pass Sequence,No,,,0.0,7,Yes,Fast Break,Central midfield,Retained Possession,Yes,1,Through Ball,No,Slow Build-up,Defender,Middle
58,11,2023-09-24,2024,40,Green Dragons,Corner,Yes,24,Goal,0.14,3,Yes,Open Play,Right wing close to box,Goal,Yes,3,Cross,No,Quick Attack,Midfielder,Middle
59,11,2023-09-24,2024,31,Green Dragons,Counterattack,Yes,22,Goal,0.07,2,No,Fast Break,Left wing close to box,Goal,Yes,3,Through Ball,No,Quick Attack,Midfielder,Middle
60,11,2023-09-24,2024,37,Green Dragons,Shot Attempt,Yes,27,Saved by GK,0.06,1,No,Fast Break,Left wing close to box,Turnover,No,-1,Through Ball,Yes,Quick Attack,Midfielder,Middle
61,11,2023-09-24,2024,35,Green Dragons,Counterattack,Yes,7,Goal,0.45,2,No,Set Piece,Central outside box,Goal,Yes,3,Through Ball,No,Slow Build-up,Winger,Middle
62,12,2023-09-29,2024,57,Purple Panthers,Pass Sequence,No,,,0.0,1,No,Fast Break,Right wing outside box,Retained Possession,Yes,1,Cutback,Yes,Quick Attack,Midfielder,Middle
63,12,2023-09-29,2024,87,Purple Panthers,Corner,Yes,23,Goal,0.2,3,No,Fast Break,Central inside box,Goal,Yes,3,Cross,No,Slow Build-up,Winger,Late
64,12,2023-09-29,2024,24,Purple Panthers,Corner,Yes,18,Saved by GK,0.39,2,No,Set Piece,Right wing outside box,Retained Possession,Yes,1,None,Yes,Slow Build-up,Defender,Early
65,12,2023-09-29,2024,89,Purple Panthers,Free Kick,Yes,14,Saved by GK,0.34,3,Yes,Set Piece,Central outside box,Retained Possession,Yes,1,Cutback,No,Quick Attack,Defender,Late
66,12,2023-09-29,2024,66,Purple Panthers,Pass Sequence,No,,,0.0,8,No,Open Play,Left wing outside box,Retained Possession,Yes,1,Cutback,No,Slow Build-up,Striker,Late
67,12,2023-09-29,2024,27,Purple Panthers,Shot Attempt,Yes,22,Missed,0.19,2,No,Open Play,Central inside box,Turnover,No,-1,Cross,Yes,Slow Build-up,Striker,Early
68,13,2023-10-01,2024,12,Orange Tigers,Counterattack,Yes,8,Saved by GK,0.68,3,Yes,Set Piece,Right wing inside box,Retained Possession,Yes,1,Through Ball,No,Slow Build-up,Midfielder,Early
69,13,2023-10-01,2024,59,Orange Tigers,Corner,Yes,9,Saved by GK,0.46,3,Yes,Open Play,Right wing inside box,Saved by GK,Yes,2,Cutback,No,Quick Attack,Winger,Middle
70,13,2023-10-01,2024,39,Orange Tigers,Corner,Yes,23,Saved by GK,0.18,2,No,Set Piece,Right wing outside box,Saved by GK,Yes,2,Through Ball,No,Quick Attack,Midfielder,Middle
71,13,2023-10-01,2024,74,Orange Tigers,Free Kick,Yes,12,Saved by GK,0.11,3,No,Fast Break,Central midfield,Saved by GK,Yes,2,Cross,No,Quick Attack,Midfielder,Late
72,13,2023-10-01,2024,65,Orange Tigers,Corner,Yes,15,Goal,0.36,2,Yes,Fast Break,Left wing midfield,Goal,Yes,3,None,Yes,Slow Build-up,Midfielder,Late
73,13,2023-10-01,2024,10,Orange Tigers,Free Kick,Yes,30,On Target,0.1,3,No,Fast Break,Central outside box,Saved by GK,Yes,2,Cutback,No,Slow Build-up,Defender,Early
74,14,2023-10-03,2024,80,Red Bulls,Pass Sequence,No,,,0.0,4,No,Open Play,Central outside box,Retained Possession,Yes,1,Through Ball,Yes,Quick Attack,Defender,Late
75,14,2023-10-03,2024,22,Red Bulls,Shot Attempt,Yes,5,Goal,0.5,1,No,Set Piece,Right wing outside box,Goal,Yes,3,Through Ball,Yes,Quick Attack,Defender,Early
76,14,2023-10-03,2024,73,Red Bulls,Counterattack,Yes,10,Missed,0.42,2,Yes,Set Piece,Left wing close to box,Turnover,No,-1,Cross,Yes,Slow Build-up,Winger,Late
77,14,2023-10-03,2024,59,Red Bulls,Shot Attempt,Yes,26,Goal,0.18,2,No,Fast Break,Right wing midfield,Goal,Yes,3,Cross,Yes,Slow Build-up,Winger,Middle
78,14,2023-10-03,2024,76,Red Bulls,Shot Attempt,Yes,25,Saved by GK,0.15,2,No,Open Play,Central midfield,Saved by GK,Yes,2,None,Yes,Slow Build-up,Winger,Late
79,15,2023-10-07,2024,90,Black Knights,Shot Attempt,Yes,5,Saved by GK,0.48,3,Yes,Fast Break,Left wing midfield,Retained Possession,Yes,1,Cross,No,Quick Attack,Midfielder,Late
80,15,2023-10-07,2024,80,Black Knights,Shot Attempt,Yes,26,Missed,0.14,3,Yes,Set Piece,Left wing midfield,Turnover,No,-1,None,No,Quick Attack,Striker,Late
81,15,2023-10-07,2024,38,Black Knights,Shot Attempt,Yes,28,Saved by GK,0.08,1,No,Fast Break,Right wing midfield,Retained Possession,Yes,1,Cross,No,Slow Build-up,Winger,Middle
82,15,2023-10-07,2024,44,Black Knights,Pass Sequence,No,,,0.0,8,Yes,Open Play,Left wing outside box,Retained Possession,Yes,1,Through Ball,No,Quick Attack,Defender,Middle
83,15,2023-10-07,2024,2,Black Knights,Shot Attempt,Yes,22,Goal,0.12,3,No,Fast Break,Central midfield,Goal,Yes,3,Cutback,Yes,Quick Attack,Defender,Early
84,15,2023-10-07,2024,4,Black Knights,Corner,Yes,22,On Target,0.19,1,Yes,Fast Break,Left wing midfield,Saved by GK,Yes,2,Cutback,No,Quick Attack,Midfielder,Early
85,16,2023-10-08,2024,5,White Eagles,Shot Attempt,Yes,20,Goal,0.13,3,Yes,Set Piece,Left wing midfield,Goal,Yes,3,Cutback,No,Quick Attack,Defender,Early
86,16,2023-10-08,2024,84,White Eagles,Pass Sequence,No,,,0.0,8,No,Set Piece,Central inside box,Retained Possession,Yes,1,Cutback,Yes,Slow Build-up,Defender,Late
87,16,2023-10-08,2024,31,White Eagles,Shot Attempt,Yes,8,On Target,0.56,3,No,Open Play,Central midfield,Saved by GK,Yes,2,Cutback,Yes,Quick Attack,Defender,Middle
88,16,2023-10-08,2024,12,White Eagles,Counterattack,Yes,25,Goal,0.06,2,Yes,Open Play,Left wing close to box,Goal,Yes,3,Cross,Yes,Quick Attack,Midfielder,Early
89,16,2023-10-08,2024,30,White Eagles,Shot Attempt,Yes,29,Missed,0.17,3,Yes,Set Piece,Left wing inside box,Turnover,No,-1,Cross,No,Quick Attack,Striker,Early
90,17,2023-11-01,2024,17,Yellow Jackets,Pass Sequence,No,,,0.0,6,Yes,Fast Break,Right wing outside box,Retained Possession,Yes,1,None,Yes,Slow Build-up,Striker,Early
91,17,2023-11-01,2024,17,Yellow Jackets,Free Kick,Yes,21,Goal,0.16,2,No,Set Piece,Right wing midfield,Goal,Yes,3,None,No,Quick Attack,Striker,Early
92,17,2023-11-01,2024,85,Yellow Jackets,Corner,Yes,14,Saved by GK,0.29,1,Yes,Set Piece,Central midfield,Saved by GK,Yes,2,None,No,Slow Build-up,Striker,Late
93,17,2023-11-01,2024,11,Yellow Jackets,Shot Attempt,Yes,24,Missed,0.06,2,No,Set Piece,Left wing close to box,Turnover,No,-1,Cutback,No,Slow Build-up,Striker,Early
94,17,2023-11-01,2024,90,Yellow Jackets,Pass Sequence,No,,,0.0,4,No,Set Piece,Left wing outside box,Retained Possession,Yes,1,Through Ball,No,Slow Build-up,Defender,Late
95,18,2023-11-07,2024,13,Maroon Stallions,Shot Attempt,Yes,18,On Target,0.3,2,Yes,Fast Break,Left wing midfield,Saved by GK,Yes,2,None,Yes,Quick Attack,Striker,Early
96,18,2023-11-07,2024,56,Maroon Stallions,Pass Sequence,No,,,0.0,6,Yes,Fast Break,Central inside box,Retained Possession,Yes,1,Cutback,Yes,Slow Build-up,Winger,Middle
97,18,2023-11-07,2024,86,Maroon Stallions,Free Kick,Yes,28,Goal,0.2,3,No,Set Piece,Central outside box,Goal,Yes,3,Cross,Yes,Slow Build-up,Midfielder,Late
98,18,2023-11-07,2024,14,Maroon Stallions,Shot Attempt,Yes,22,On Target,0.07,2,Yes,Set Piece,Right wing midfield,Saved by GK,Yes,2,None,No,Quick Attack,Midfielder,Early
99,18,2023-11-07,2024,35,Maroon Stallions,Shot Attempt,Yes,15,On Target,0.1,1,No,Open Play,Left wing inside box,Saved by GK,Yes,2,None,Yes,Quick Attack,Defender,Middle
100,18,2023-11-07,2024,54,Maroon Stallions,Free Kick,Yes,15,Missed,0.21,3,No,Fast Break,Left wing close to box,Turnover,No,-1,None,Yes,Quick Attack,Midfielder,Middle
101,19,2023-11-18,2024,87,Navy Seals,Pass Sequence,No,,,0.0,5,No,Fast Break,Central midfield,Retained Possession,Yes,1,Through Ball,No,Slow Build-up,Winger,Late
102,19,2023-11-18,2024,28,Navy Seals,Corner,Yes,8,On Target,0.53,2,No,Fast Break,Right wing close to box,Saved by GK,Yes,2,Cutback,Yes,Quick Attack,Defender,Early
103,19,2023-11-18,2024,77,Navy Seals,Pass Sequence,No,,,0.0,1,Yes,Set Piece,Left wing outside box,Retained Possession,Yes,1,Cross,No,Slow Build-up,Winger,Late
104,19,2023-11-18,2024,16,Navy Seals,Pass Sequence,No,,,0.0,8,No,Open Play,Left wing inside box,Retained Possession,Yes,1,Through Ball,Yes,Slow Build-up,Striker,Early
105,19,2023-11-18,2024,51,Navy Seals,Pass Sequence,No,,,0.0,7,Yes,Set Piece,Central outside box,Retained Possession,Yes,1,Cutback,No,Slow Build-up,Defender,Middle
106,20,2023-11-20,2024,15,Forest Rangers,Free Kick,Yes,5,On Target,0.45,3,No,Fast Break,Right wing outside box,Saved by GK,Yes,2,None,No,Quick Attack,Midfielder,Early
107,20,2023-11-20,2024,56,Forest Rangers,Corner,Yes,17,Goal,0.22,2,No,Open Play,Right wing outside box,Goal,Yes,3,Cross,Yes,Quick Attack,Midfielder,Middle
108,20,2023-11-20,2024,45,Forest Rangers,Shot Attempt,Yes,28,Missed,0.09,1,No,Open Play,Left wing inside box,Turnover,No,-1,Cross,Yes,Quick Attack,Defender,Middle
109,20,2023-11-20,2024,60,Forest Rangers,Corner,Yes,29,Saved by GK,0.15,3,No,Fast Break,Right wing outside box,Turnover,No,-1,Through Ball,Yes,Slow Build-up,Defender,Late
110,20,2023-11-20,2024,81,Forest Rangers,Shot Attempt,Yes,30,On Target,0.14,2,Yes,Set Piece,Left wing midfield,Saved by GK,Yes,2,Through Ball,Yes,Quick Attack,Winger,Late
111,20,2023-11-20,2024,37,Forest Rangers,Pass Sequence,No,,,0.0,2,No,Set Piece,Left wing close to box,Retained Possession,Yes,1,None,No,Quick Attack,Winger,Middle
112,21,2023-11-21,2024,65,Thunder FC,Counterattack,Yes,6,Saved by GK,0.43,2,Yes,Fast Break,Right wing close to box,Turnover,No,-1,None,Yes,Slow Build-up,Defender,Late
113,21,2023-11-21,2024,68,Thunder FC,Corner,Yes,24,Missed,0.1,2,No,Set Piece,Right wing outside box,Turnover,No,-1,None,No,Quick Attack,Winger,Late
114,21,2023-11-21,2024,13,Thunder FC,Corner,Yes,26,Saved by GK,0.09,3,Yes,Set Piece,Central outside box,Turnover,No,-1,Cutback,No,Slow Build-up,Midfielder,Early
115,21,2023-11-21,2024,77,Thunder FC,Pass Sequence,No,,,0.0,5,No,Fast Break,Right wing outside box,Retained Possession,Yes,1,Cross,Yes,Slow Build-up,Winger,Late
116,21,2023-11-21,2024,3,Thunder FC,Shot Attempt,Yes,14,Missed,0.39,2,No,Open Play,Left wing outside box,Turnover,No,-1,Cross,Yes,Quick Attack,Winger,Early
117,21,2023-11-21,2024,13,Thunder FC,Corner,Yes,29,Goal,0.15,3,Yes,Fast Break,Central midfield,Goal,Yes,3,Cross,Yes,Quick Attack,Midfielder,Early
118,22,2023-11-23,2024,6,Phoenix United,Free Kick,Yes,16,Missed,0.39,3,No,Fast Break,Left wing midfield,Turnover,No,-1,Cross,Yes,Slow Build-up,Defender,Early
119,22,2023-11-23,2024,25,Phoenix United,Shot Attempt,Yes,26,Saved by GK,0.12,2,No,Fast Break,Right wing midfield,Saved by GK,Yes,2,Cross,Yes,Quick Attack,Winger,Early
120,22,2023-11-23,2024,7,Phoenix United,Free Kick,Yes,16,Goal,0.31,3,Yes,Set Piece,Central outside box,Goal,Yes,3,Cross,No,Slow Build-up,Midfielder,Early
121,22,2023-11-23,2024,56,Phoenix United,Pass Sequence,No,,,0.0,4,No,Set Piece,Central inside box,Retained Possession,Yes,1,Through Ball,Yes,Slow Build-up,Winger,Middle
122,22,2023-11-23,2024,31,Phoenix United,Free Kick,Yes,7,On Target,0.47,2,Yes,Fast Break,Right wing close to box,Saved by GK,Yes,2,Cutback,Yes,Quick Attack,Striker,Middle
123,22,2023-11-23,2024,37,Phoenix United,Free Kick,Yes,27,Missed,0.16,2,No,Fast Break,Central inside box,Turnover,No,-1,None,Yes,Slow Build-up,Midfielder,Middle
124,23,2023-12-08,2024,71,Storm Rovers,Corner,Yes,21,Saved by GK,0.07,2,Yes,Set Piece,Central outside box,Goal,No,3,Cross,No,Slow Build-up,Striker,Late
125,23,2023-12-08,2024,15,Storm Rovers,Free Kick,Yes,24,Goal,0.14,3,Yes,Fast Break,Left wing inside box,Goal,Yes,3,Cutback,No,Quick Attack,Winger,Early
126,23,2023-12-08,2024,31,Storm Rovers,Corner,Yes,18,Missed,0.3,1,No,Open Play,Right wing midfield,Turnover,No,-1,None,No,Slow Build-up,Striker,Middle
127,23,2023-12-08,2024,82,Storm Rovers,Free Kick,Yes,16,On Target,0.32,2,Yes,Set Piece,Left wing outside box,Saved by GK,Yes,2,None,No,Quick Attack,Striker,Late
128,23,2023-12-08,2024,46,Storm Rovers,Corner,Yes,15,Missed,0.35,3,No,Fast Break,Left wing midfield,Turnover,No,-1,Cross,Yes,Quick Attack,Defender,Middle
129,24,2023-12-09,2024,38,Eagle City,Counterattack,Yes,6,Missed,0.67,2,No,Fast Break,Central midfield,Turnover,No,-1,Through Ball,No,Quick Attack,Midfielder,Middle
130,24,2023-12-09,2024,37,Eagle City,Shot Attempt,Yes,29,Goal,0.18,2,No,Open Play,Right wing outside box,Goal,Yes,3,Through Ball,No,Slow Build-up,Defender,Middle
131,24,2023-12-09,2024,44,Eagle City,Counterattack,Yes,20,Saved by GK,0.21,3,No,Open Play,Central midfield,Goal,No,3,Through Ball,Yes,Slow Build-up,Winger,Middle
132,24,2023-12-09,2024,14,Eagle City,Pass Sequence,No,,,0.0,6,No,Set Piece,Left wing midfield,Retained Possession,Yes,1,Through Ball,Yes,Slow Build-up,Winger,Early
133,24,2023-12-09,2024,58,Eagle City,Pass Sequence,No,,,0.0,6,No,Set Piece,Right wing close to box,Retained Possession,Yes,1,None,Yes,Slow Build-up,Winger,Middle
134,25,2023-12-14,2024,4,Lightning Athletic,Counterattack,Yes,24,Saved by GK,0.06,1,Yes,Fast Break,Right wing outside box,Retained Possession,Yes,1,Through Ball,Yes,Quick Attack,Defender,Early
135,25,2023-12-14,2024,48,Lightning Athletic,Shot Attempt,Yes,19,Goal,0.27,3,No,Set Piece,Right wing outside box,Goal,Yes,3,Cutback,Yes,Quick Attack,Striker,Middle
136,25,2023-12-14,2024,24,Lightning Athletic,Free Kick,Yes,21,Saved by GK,0.19,1,No,Set Piece,Left wing midfield,Turnover,No,-1,Cutback,No,Quick Attack,Striker,Early
137,25,2023-12-14,2024,18,Lightning Athletic,Pass Sequence,No,,,0.0,8,Yes,Fast Break,Left wing midfield,Retained Possession,Yes,1,None,No,Slow Build-up,Striker,Early
138,25,2023-12-14,2024,71,Lightning Athletic,Corner,Yes,14,On Target,0.36,3,Yes,Set Piece,Right wing midfield,Saved by GK,Yes,2,Cross,Yes,Quick Attack,Midfielder,Late
139,26,2023-12-15,2024,64,Firestorm FC,Pass Sequence,No,,,0.0,6,No,Set Piece,Right wing midfield,Retained Possession,Yes,1,Cross,Yes,Quick Attack,Winger,Late
140,26,2023-12-15,2024,51,Firestorm FC,Free Kick,Yes,21,Saved by GK,0.17,3,Yes,Open Play,Right wing outside box,Goal,No,3,Through Ball,No,Slow Build-up,Midfielder,Middle
141,26,2023-12-15,2024,71,Firestorm FC,Corner,Yes,10,Missed,0.53,1,Yes,Fast Break,Left wing inside box,Turnover,No,-1,Cutback,Yes,Quick Attack,Winger,Late
142,26,2023-12-15,2024,29,Firestorm FC,Shot Attempt,Yes,21,On Target,0.18,2,Yes,Fast Break,Right wing midfield,Saved by GK,Yes,2,Cutback,Yes,Slow Build-up,Striker,Early
143,26,2023-12-15,2024,65,Firestorm FC,Counterattack,Yes,23,Missed,0.08,3,No,Fast Break,Central inside box,Turnover,No,-1,None,Yes,Quick Attack,Winger,Late
